"Date","Locations","Cumulative_All_Ages","Cumulative_Child","Perc_Children_Total","Hosp_Rate","weekly_count","child_weekly_count"
2020-05-21,"17_states_and_NYC",105665,891,0.8,3.8,NA,NA
2020-05-28,"16_states_and_NYC",114678,1054,0.9,3.8,9013,163
2020-06-04,"19_states_and_NYC",128779,1231,1,3.3,14101,177
2020-06-11,"19_states_and_NYC",134600,1322,1,3.3,5821,91
2020-06-18,"19_states_and_NYC",140215,1433,1,2.9,5615,111
2020-06-25,"20_states_and_NYC",151583,1663,1.1,2.9,11368,230
2020-07-02,"20_states_and_NYC",156640,1780,1.1,2.6,5057,117
2020-07-09,"20_states_and_NYC",164158,1948,1.2,2.4,7518,168
2020-07-16,"20_states_and_NYC",172787,2074,1.2,2.1,8629,126
2020-07-23,"20_states_and_NYC",181345,2304,1.3,2,8558,230
2020-07-30,"20_states_and_NYC",195106,2669,1.4,2,13761,365
2020-08-06,"20_states_and_NYC",206189,3276,1.6,2.2,11083,607
2020-08-13,"21_states_and_NYC",225893,3849,1.7,1.9,19704,573
2020-08-20,"21_states_and_NYC",234810,4062,1.7,2.3,8917,213
2020-08-27,"22_states_and_NYC",243056,4163,1.7,2.1,8246,101
2020-09-03,"23_states_and_NYC",257300,4321,1.7,1.9,14244,158
2020-09-10,"24_states_and_NYC",270034,4677,1.7,1.8,12734,356
2020-09-17,"25_states_and_NYC",288345,5016,1.7,1.7,18311,339
2020-09-24,"25_states_and_NYC",294901,5164,1.8,1.7,6556,148
2020-10-01,"25_states_and_NYC",302896,5340,1.8,1.6,7995,176
2020-10-08,"25_states_and_NYC",307135,5211,1.7,1.4,4239,-129
2020-10-15,"24_states_and_NYC",314715,5353,1.7,1.9,7580,142
2020-10-22,"24_states_and_NYC",324720,5585,1.7,1.8,10005,232
2020-10-29,"24_states_and_NYC",348296,5899,1.7,1.8,23576,314
2020-11-05,"24_states_and_NYC",360724,6172,1.7,1.7,12428,273
2020-11-12,"23_states_and_NYC",362453,6337,1.7,1.6,1729,165
